Type;Variables;29-Mar-2018:plants;04-Apr-2018:plants;19-Apr-2018:plants1.0;19-Apr-2018:plants2.0;19-Apr-2018:plants2.0.1;20-Apr-2018:plants2.0;25-Apr-2018:plants2.0;25-Apr-2018:plants2.0.1;02-May-2018:plants2.0;02-May-2018:plants2.0.1;02-May-2018:plants_test;02-May-2018:plants_test.1;02-May-2018:plants_test.1.1;02-May-2018:plants_test.1.1.1;03-May-2018:plants;03-May-2018:plants.1;03-May-2018:plants.1.1;03-May-2018:plants4.0;03-May-2018:plants5.0;03-May-2018:cats_dogs;04-May-2018:plants_demo;"11-May-2018:datasets/123._""egg""_eggs";"11-May-2018:datasets/123._""egg""_eggs.1";"11-May-2018:datasets/123._""egg""_eggs.1.1";"11-May-2018:datasets/123._""egg""_eggs.1.1.1";"11-May-2018:datasets/140._""fish""_fish";"11-May-2018:datasets/140._""fish""_fish::141._""fish""_fresh_water_fish";"11-May-2018:datasets/140._""fish""_fish::142._""fish""_sea_fish";"11-May-2018:datasets/140._""fish""_fish::142._""fish""_sea_fish::323._""salmon""_sea_fish";"11-May-2018:datasets/178._""juice""_fruit_and_vegetable_juices";"11-May-2018:datasets/192._""leafy_salad""_fresh_vegetables";"11-May-2018:datasets/237._""mushroom""_mushrooms";"11-May-2018:datasets/258._""pasta""_pasta";"11-May-2018:datasets/258._""pasta""_pasta::664._tortellini";"11-May-2018:datasets/123._""egg""_eggs"
Config_data;version;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01
Config_data;visdom_port;8097;8097;8097;8097;8097;8097;8097;8097;8097;8097;8097;8097;8097;8097;8097;8097;8097;8097;8097;8097;8097;8097;8097;8097;8097;8097;8097;8097;8097;8097;8097;8097;8097;8097;8097
Config_data;visdom_server;localhost;localhost;localhost;localhost;localhost;localhost;localhost;localhost;localhost;localhost;localhost;localhost;localhost;localhost;localhost;localhost;localhost;localhost;localhost;localhost;localhost;localhost;localhost;localhost;localhost;localhost;localhost;localhost;localhost;localhost;localhost;localhost;localhost;localhost;localhost
Meta_data;classes;['c_1', 'c_0', 'c_3', 'c_2'];['c_1', 'c_0', 'c_3', 'c_2'];['c_2', 'c_0', 'c_3', 'c_1'];['c_2', 'c_0', 'c_3', 'c_1'];['c_0', 'c_2', 'c_3', 'c_1'];['c_3', 'c_0', 'c_2', 'c_1'];['c_2', 'c_0', 'c_3', 'c_1'];['c_2', 'c_0', 'c_3', 'c_1'];['c_0', 'c_1', 'c_2', 'c_3'];['c_0', 'c_1', 'c_2', 'c_3'];['c_0', 'c_1', 'c_2', 'c_3'];['c_0', 'c_1', 'c_2', 'c_3'];['c_0', 'c_1', 'c_2', 'c_3'];['c_0', 'c_1', 'c_2', 'c_3'];['c_0', 'c_1', 'c_2', 'c_3'];['c_0', 'c_1', 'c_2', 'c_3'];['c_0', 'c_1', 'c_2', 'c_3'];['c_0', 'c_1', 'c_2', 'c_3'];['c_0', 'c_1', 'c_2', 'c_3'];['dogs', 'cats'];['c_0', 'c_1', 'c_2', 'c_3'];"['123._""egg""_eggs::121._""egg_white""_eggs', '123._""egg""_eggs::122._""egg_yolk""_eggs']";"['123._""egg""_eggs::121._""egg_white""_eggs', '123._""egg""_eggs::122._""egg_yolk""_eggs']";"['123._""egg""_eggs::121._""egg_white""_eggs', '123._""egg""_eggs::122._""egg_yolk""_eggs']";"['123._""egg""_eggs::121._""egg_white""_eggs', '123._""egg""_eggs::122._""egg_yolk""_eggs']";"['140._""fish""_fish::142._""fish""_sea_fish', '140._""fish""_fish::474._mixed_grilled_fish', '140._""fish""_fish::141._""fish""_fresh_water_fish', '140._""fish""_fish::473._mixed_fried_fish']";"['140._""fish""_fish::141._""fish""_fresh_water_fish::379._""trout""_fresh_water_fish', '140._""fish""_fish::141._""fish""_fresh_water_fish::402._""whitefish""_fresh_water_fish', '140._""fish""_fish::141._""fish""_fresh_water_fish::442._filet_de_perches_du_lac', '140._""fish""_fish::141._""fish""_fresh_water_fish::443._filet_de_perches_du_lac']";"['140._""fish""_fish::142._""fish""_sea_fish::143._""flounder""_sea_fish', '140._""fish""_fish::142._""fish""_sea_fish::275._""plaice""_sea_fish', '140._""fish""_fish::142._""fish""_sea_fish::532._turbot_baked_with_potatoes', '140._""fish""_fish::142._""fish""_sea_fish::327._""sardine""_sea_fish', '140._""fish""_fish::142._""fish""_sea_fish::165._""hake""_sea_fish', '140._""fish""_fish::142._""fish""_sea_fish::166._""halibut""_sea_fish', '140._""fish""_fish::142._""fish""_sea_fish::323._""salmon""_sea_fish', '140._""fish""_fish::142._""fish""_sea_fish::381._""tuna""_sea_fish', '140._""fish""_fish::142._""fish""_sea_fish::507._sea_bass', '140._""fish""_fish::142._""fish""_sea_fish::279._""pollock""_sea_fish', '140._""fish""_fish::142._""fish""_sea_fish::508._sea_bream', '140._""fish""_fish::142._""fish""_sea_fish::5._""anchovy""_sea_fish', '140._""fish""_fish::142._""fish""_sea_fish::341._""sole""_sea_fish']";"['140._""fish""_fish::142._""fish""_sea_fish::323._""salmon""_sea_fish::510._smoked_salmon_carpaccio_with_agrumes', '140._""fish""_fish::142._""fish""_sea_fish::323._""salmon""_sea_fish::51F_grilled_salmon', '140._""fish""_fish::142._""fish""_sea_fish::323._""salmon""_sea_fish::436._escalope_de_saumon_aux_baies_roses']";"['178._""juice""_fruit_and_vegetable_juices::179._""juice""_fruit_juices', '178._""juice""_fruit_and_vegetable_juices::180._""juice""_vegetable_juices']";"['192._""leafy_salad""_fresh_vegetables::457._green_salad', '192._""leafy_salad""_fresh_vegetables::475._mixed_salad', '192._""leafy_salad""_fresh_vegetables::393._""water_cress""_fresh_vegetables', '192._""leafy_salad""_fresh_vegetables::51._""butterhead_lettuce""_fresh_vegetables', '192._""leafy_salad""_fresh_vegetables::313._""rocket""_fresh_vegetables', '192._""leafy_salad""_fresh_vegetables::316._""romaine_lettuce""_fresh_vegetables', '192._""leafy_salad""_fresh_vegetables::176._""iceberg_lettuce""_fresh_vegetables']";"['237._""mushroom""_mushrooms::232._""morel""_mushrooms', '237._""mushroom""_mushrooms::120._""edible_boletus""_mushrooms', '237._""mushroom""_mushrooms::492._porcin_mushrooms_to_the_hoven', '237._""mushroom""_mushrooms::65._""chanterelle""_mushrooms']";"['258._""pasta""_pasta::664._tortellini', '258._""pasta""_pasta::663._tonnarelli', '258._""pasta""_pasta::496._ravioli_at_fresh_cheese_and_spinach_with_tomato_and_whipped_cream', '258._""pasta""_pasta::662._spaghetti', '258._""pasta""_pasta::660._fettuccine', '258._""pasta""_pasta::482._penne_with_strong_chili', '258._""pasta""_pasta::257._""pasta_salad""_salads']";"['258._""pasta""_pasta::664._tortellini::525._tortellini_with_wild_mushrooms', '258._""pasta""_pasta::664._tortellini::526._tortellini_with_meat_sauce']";"['123._""egg""_eggs::121._""egg_white""_eggs', '123._""egg""_eggs::122._""egg_yolk""_eggs']"
Meta_data;dataset_name;plants;plants;plants1.0;plants1.0;plants1.0;plants1.0;plants1.0;plants1.0;plants1.0;plants1.0;plants1.0;plants1.0;plants1.0;plants1.0;plants1.0;plants1.0;plants1.0;plants1.0;plants1.0;cats_dogs;plants_demo;"123._""egg""_eggs";"123._""egg""_eggs";"123._""egg""_eggs";"123._""egg""_eggs";"140._""fish""_fish";"140._""fish""_fish::141._""fish""_fresh_water_fish";"140._""fish""_fish::142._""fish""_sea_fish";"140._""fish""_fish::142._""fish""_sea_fish::323._""salmon""_sea_fish";"178._""juice""_fruit_and_vegetable_juices";"192._""leafy_salad""_fresh_vegetables";"237._""mushroom""_mushrooms";"258._""pasta""_pasta";"258._""pasta""_pasta::664._tortellini";"123._""egg""_eggs"
Meta_data;errors;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Meta_data;img_size;[256, 256];[256, 256];[256, 256];[256, 256];[256, 256];[256, 256];[256, 256];[256, 256];[256, 256];[256, 256];[256, 256];[256, 256];[256, 256];[256, 256];[256, 256];[256, 256];[256, 256];[256, 256];[256, 256];[256, 256];[256, 256];[256, 256];[256, 256];[256, 256];[256, 256];[256, 256];[256, 256];[256, 256];[256, 256];[256, 256];[256, 256];[256, 256];[256, 256];[256, 256];[256, 256]
Meta_data;input_folder_path;/home/camille/tortilla/tests/data/plant_diseases;/home/camille/tortilla/tests/data/plant_diseases;/home/camille/tortilla/tests/data/plant_diseases;/home/camille/tortilla/tests/data/plant_diseases;/home/camille/tortilla/tests/data/plant_diseases;/home/camille/tortilla/tests/data/plant_diseases;/home/camille/camille/tortilla/tests/data/plant_diseases;/home/camille/camille/tortilla/tests/data/plant_diseases;/mount/SDB/tortilla-camille/tests/data/plant_diseases;/mount/SDB/tortilla-camille/tests/data/plant_diseases;/mount/SDB/tortilla-camille/tests/data/plant_diseases;/mount/SDB/tortilla-camille/tests/data/plant_diseases;/mount/SDB/tortilla-camille/tests/data/plant_diseases;/mount/SDB/tortilla-camille/tests/data/plant_diseases;/mount/SDB/tortilla-camille/tests/data/plant_diseases;/mount/SDB/tortilla-camille/tests/data/plant_diseases;/mount/SDB/tortilla-camille/tests/data/plant_diseases;/mount/SDB/tortilla-camille/tests/data/plant_diseases;/mount/SDB/tortilla-camille/tests/data/plant_diseases;/mount/SDB/tortilla-camille/images;/mount/SDB/tortilla-camille/tests/data/plant_diseases;"/home/harsh/tortilla/output1234/123._""egg""_eggs";"/home/harsh/tortilla/output1234/123._""egg""_eggs";"/home/harsh/tortilla/output1234/123._""egg""_eggs";"/home/harsh/tortilla/output1234/123._""egg""_eggs";"/home/harsh/tortilla/output1234/140._""fish""_fish";"/home/harsh/tortilla/output1234/140._""fish""_fish::141._""fish""_fresh_water_fish";"/home/harsh/tortilla/output1234/140._""fish""_fish::142._""fish""_sea_fish";"/home/harsh/tortilla/output1234/140._""fish""_fish::142._""fish""_sea_fish::323._""salmon""_sea_fish";"/home/harsh/tortilla/output1234/178._""juice""_fruit_and_vegetable_juices";"/home/harsh/tortilla/output1234/192._""leafy_salad""_fresh_vegetables";"/home/harsh/tortilla/output1234/237._""mushroom""_mushrooms";"/home/harsh/tortilla/output1234/258._""pasta""_pasta";"/home/harsh/tortilla/output1234/258._""pasta""_pasta::664._tortellini";"/home/harsh/tortilla/output1234/123._""egg""_eggs"
Meta_data;is_absolute_path;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
Meta_data;max_images_per_class;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;5000;200;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000
